행정구역(시군구)별,성별,연령별,항목,단위,2016 년,2017 년,2018 년,2019 년,2020 년,2021 년,2022 년
서울특별시,계,18세,주민등록연앙인구[명],명,113422.5,107308.5,106150,99829,87022,81462,79596
서울특별시,계,19세,주민등록연앙인구[명],명,120643,115421.5,109764,109214,102944,89569.5,85095.5
서울특별시,계,20세,주민등록연앙인구[명],명,126571.5,121831,117071.5,112031,111721.5,105204,92830
서울특별시,계,21세,주민등록연앙인구[명],명,132212,127535.5,123155.5,118997.5,114361,113999,108484.5
서울특별시,계,22세,주민등록연앙인구[명],명,137242.5,135355.5,131253,127847,124330.5,119425.5,120180.5
서울특별시,계,23세,주민등록연앙인구[명],명,144983,142687.5,141624.5,138462.5,135769,131920,127484
서울특별시,계,24세,주민등록연앙인구[명],명,151429.5,150345,148896.5,148567,145695.5,142554,139178
서울특별시,계,25세,주민등록연앙인구[명],명,149472,157104.5,157048.5,156283,156145,152935.5,150263
서울특별시,계,26세,주민등록연앙인구[명],명,146292,153668,162556.5,163481,162924,162110,159072.5
서울특별시,계,27세,주민등록연앙인구[명],명,148480.5,148567,157009,166959.5,168028,166376,165634.5
서울특별시,계,28세,주민등록연앙인구[명],명,148776,148985,150129,159411,169329.5,169322.5,167768.5
서울특별시,계,29세,주민등록연앙인구[명],명,149109,147940.5,148935,150596,160119.5,168924.5,168657.5
서울특별시,계,30세,주민등록연앙인구[명],명,152847,147159.5,146768.5,148201.5,149994.5,158323.5,166908.5
서울특별시,계,31세,주민등록연앙인구[명],명,154292.5,149691.5,144957,145098,146960.5,147666,155444
서울특별시,계,32세,주민등록연앙인구[명],명,161787,150508.5,146464,142329.5,143056.5,143950.5,144473
서울특별시,계,33세,주민등록연앙인구[명],명,174288.5,157223,146641,142992.5,139721,139679.5,140317
서울특별시,계,34세,주민등록연앙인구[명],명,179033,169080,152649.5,142656.5,139793.5,135795.5,135724
서울특별시,계,35세,주민등록연앙인구[명],명,176587,173509.5,163984.5,148330.5,139413,135895,131777.5
서울특별시,계,36세,주민등록연앙인구[명],명,171960,171208,168230.5,159126.5,144525,135430.5,132121.5
서울특별시,계,37세,주민등록연앙인구[명],명,156054,167097,166110,163321,155122.5,140500.5,131686
서울특별시,계,38세,주민등록연앙인구[명],명,147930,151831.5,162265,161566.5,159518,150888,136780
서울특별시,계,39세,주민등록연앙인구[명],명,151211.5,144326,148012.5,158389.5,158209.5,155548.5,147298.5
서울특별시,계,40세,주민등록연앙인구[명],명,150454,147901,140978.5,144661,155331,154660.5,151980
서울특별시,계,41세,주민등록연앙인구[명],명,157353.5,147321.5,144772,138124.5,142120,152163.5,151589
서울특별시,계,42세,주민등록연앙인구[명],명,166001.5,154605,144627,142186,136107.5,139550.5,149489.5
서울특별시,계,43세,주민등록연앙인구[명],명,170342,163336.5,151982.5,142354.5,140268.5,133805.5,137312.5
서울특별시,계,44세,주민등록연앙인구[명],명,176459,167827,160899,149827,140632,138162,131891
서울특별시,계,45세,주민등록연앙인구[명],명,178007.5,173940,165341.5,158694,147989.5,138489,136248.5
서울특별시,계,46세,주민등록연앙인구[명],명,173718,175514.5,171506.5,163083,156741.5,145889.5,136566.5
서울특별시,계,47세,주민등록연앙인구[명],명,170244,171140.5,172974,169133.5,161112,154536,143854.5
서울특별시,계,48세,주민등록연앙인구[명],명,162680.5,167854.5,168732.5,170613.5,167082,158841.5,152422
서울특별시,계,49세,주민등록연앙인구[명],명,151015,160309,165426.5,166418.5,168473.5,164614,156571
서울특별시,계,50세,주민등록연앙인구[명],명,149649,148686.5,158032,163208.5,164296,165955.5,162267.5
서울특별시,계,51세,주민등록연앙인구[명],명,153963,147221,146505.5,155847.5,161098.5,161787.5,163372
서울특별시,계,52세,주민등록연앙인구[명],명,150249.5,151581,145052,144430.5,153695,158509,159320
서울특별시,계,53세,주민등록연앙인구[명],명,152534,147633.5,148998,142748.5,142397,151198.5,155963.5
서울특별시,계,54세,주민등록연앙인구[명],명,161015.5,149962.5,145143,146692.5,140793,140101,148806.5
서울특별시,계,55세,주민등록연앙인구[명],명,166303.5,158064.5,147331.5,142734,144450,138360.5,137733.5
서울특별시,계,56세,주민등록연앙인구[명],명,163929,163222,155198.5,144892,140708,142079.5,135953
서울특별시,계,57세,주민등록연앙인구[명],명,153150,160644.5,160163.5,152501,142680.5,138324,139666
서울특별시,계,58세,주민등록연앙인구[명],명,147847.5,150085,157592.5,157357,150181.5,140252.5,135845.5
서울특별시,계,59세,주민등록연앙인구[명],명,141217,144766,147129.5,154663,154768,147582.5,137784
서울특별시,계,60세,주민등록연앙인구[명],명,138397.5,138090,141741.5,144428,152161,151814.5,144811
서울특별시,계,61세,주민등록연앙인구[명],명,130856.5,135235,135039.5,139023.5,142086.5,149269.5,148886
서울특별시,계,62세,주민등록연앙인구[명],명,112816,127887,132298.5,132534.5,136793,139436.5,146450.5
서울특별시,계,63세,주민등록연앙인구[명],명,110378,110282,125234.5,129904,130418,134299.5,136908
서울특별시,계,64세,주민등록연앙인구[명],명,97495,107842.5,107911,122957.5,127792.5,127967.5,131824
서울특별시,계,65세,주민등록연앙인구[명],명,85267.5,95548.5,105837.5,106155.5,121059.5,125422.5,125744.5
서울특별시,계,66세,주민등록연앙인구[명],명,90305,83440.5,93536,103868,104433.5,118910,123261
서울특별시,계,67세,주민등록연앙인구[명],명,90177.5,88209,81572.5,91735.5,102067.5,102468.5,116746
서울특별시,계,68세,주민등록연앙인구[명],명,90619.5,87956.5,86190.5,79888,90036.5,100110,100568.5
서울특별시,계,69세,주민등록연앙인구[명],명,82658,88402,85929,84439,78453,88263,98152.5
서울특별시,계,70세,주민등록연앙인구[명],명,69554,80619.5,86280,84121,82815,76783.5,86533.5
서울특별시,계,71세,주민등록연앙인구[명],명,65547,67701.5,78616.5,84327,82415,81064,75153
서울특별시,계,72세,주민등록연앙인구[명],명,65342,63786,65967.5,76878,82596,80540.5,79220
서울특별시,계,73세,주민등록연앙인구[명],명,70963,63521,62091,64392.5,75171,80703,78742.5
서울특별시,계,74세,주민등록연앙인구[명],명,69143,68808,61740,60483,62836.5,73275.5,78705.5
서울특별시,계,75세,주민등록연앙인구[명],명,56936,66912.5,66662,60089.5,58977.5,61164.5,71472
서울특별시,계,76세,주민등록연앙인구[명],명,51938,55015,64732,64625,58373,57303,59535.5
서울특별시,계,77세,주민등록연앙인구[명],명,48105,50044.5,52967.5,62536.5,62640,56504.5,55525
서울특별시,계,78세,주민등록연앙인구[명],명,42426.5,46220.5,48142.5,51149,60495,60419,54553.5
서울특별시,계,79세,주민등록연앙인구[명],명,38149,40697,44284,46216.5,49231,58158.5,58110.5
서울특별시,계,80세 이상,주민등록연앙인구[명],명,220235,236871.5,254627,275205.5,297315.5,319793.5,346971.5
서울특별시,계,80세,주민등록연앙인구[명],명,34822.5,36368,38897,42394.5,44310.5,47144.5,55621
서울특별시,계,81세,주민등록연앙인구[명],명,30711.5,33015,34583.5,37094,40473.5,42196.5,44891.5
서울특별시,계,82세,주민등록연앙인구[명],명,25651.5,28988,31145,32673.5,35167.5,38326.5,39949
서울특별시,계,83세,주민등록연앙인구[명],명,22128.5,24012.5,27148.5,29284.5,30836,33131.5,36032
서울특별시,계,84세,주민등록연앙인구[명],명,18820.5,20544,22292.5,25311.5,27418,28802,30876.5
서울특별시,계,85세 이상,주민등록연앙인구[명],명,88100.5,93944,100560.5,108447.5,119110,130192.5,139601.5
서울특별시,계,85세,주민등록연앙인구[명],명,16028,17371.5,18967.5,20619.5,23516,25444.5,26677.5
서울특별시,계,86세,주민등록연앙인구[명],명,14367,14592,15863,17430,19029.5,21588.5,23237.5
서울특별시,계,87세,주민등록연앙인구[명],명,12477.5,12947.5,13176,14382,15902,17356,19509
서울특별시,계,88세,주민등록연앙인구[명],명,10419.5,11221,11546,11749,12985.5,14352.5,15529
서울특별시,계,89세,주민등록연앙인구[명],명,8112.5,9197,9886,10200.5,10438.5,11516,12610.5
서울특별시,계,90세,주민등록연앙인구[명],명,6163.5,7037,7966.5,8598,8979,9161.5,9938.5
서울특별시,계,91세,주민등록연앙인구[명],명,4857,5217.5,5977,6861.5,7477.5,7811,7782.5
서울특별시,계,92세,주민등록연앙인구[명],명,4209,4071,4375,5051,5874.5,6369.5,6513
서울특별시,계,93세,주민등록연앙인구[명],명,3502,3433.5,3311,3599,4239.5,4915,5252
서울특별시,계,94세,주민등록연앙인구[명],명,2512,2833.5,2795,2670.5,2939,3511.5,3963.5
서울특별시,계,95세,주민등록연앙인구[명],명,1772,1973.5,2246.5,2226,2131.5,2329.5,2720.5
서울특별시,계,96세,주민등록연앙인구[명],명,1233,1369,1517,1774,1780.5,1664.5,1751.5
서울특별시,계,97세,주민등록연앙인구[명],명,779.5,919.5,1033,1172,1391,1381,1228.5
서울특별시,계,98세,주민등록연앙인구[명],명,552,587,686.5,774,877.5,1028,999
서울특별시,계,99세,주민등록연앙인구[명],명,377,398,412.5,490,588,671.5,724
서울특별시,계,100세 이상,주민등록연앙인구[명],명,739,775.5,802,850.5,960.5,1092,1165
